NAMESPACE       LAST SEEN   TYPE      REASON              OBJECT                                                            MESSAGE
observability   32m         Normal    Scheduled           pod/jaeger-7dc86c798f-94vwf                                       Successfully assigned observability/jaeger-7dc86c798f-94vwf to minikube
observability   32m         Normal    Pulling             pod/otel-collector-58c65f774c-9nmhk                               Pulling image "otel/opentelemetry-collector-contrib:0.95.0"
observability   32m         Normal    Pulling             pod/jaeger-7dc86c798f-94vwf                                       Pulling image "jaegertracing/all-in-one:1.57"
observability   32m         Normal    Pulled              pod/jaeger-7dc86c798f-94vwf                                       Successfully pulled image "jaegertracing/all-in-one:1.57" in 3.801s (3.802s including waiting). Image size: 72763568 bytes.
observability   32m         Normal    Created             pod/jaeger-7dc86c798f-94vwf                                       Container created
observability   32m         Normal    Started             pod/jaeger-7dc86c798f-94vwf                                       Container started
observability   31m         Normal    Scheduled           pod/obs-kube-prometheus-stack-admission-create-fxplw              Successfully assigned observability/obs-kube-prometheus-stack-admission-create-fxplw to minikube
observability   31m         Normal    Pulling             pod/obs-kube-prometheus-stack-admission-create-fxplw              Pulling image "ghcr.io/jkroepke/kube-webhook-certgen:1.7.8"
observability   31m         Normal    SuccessfulCreate    job/obs-kube-prometheus-stack-admission-create                    Created pod: obs-kube-prometheus-stack-admission-create-fxplw
observability   31m         Normal    Pulled              pod/otel-collector-58c65f774c-9nmhk                               Successfully pulled image "otel/opentelemetry-collector-contrib:0.95.0" in 4.813s (8.485s including waiting). Image size: 233851810 bytes.
observability   31m         Normal    Created             pod/otel-collector-58c65f774c-9nmhk                               Container created
observability   31m         Normal    Started             pod/otel-collector-58c65f774c-9nmhk                               Container started
observability   31m         Normal    Pulled              pod/obs-kube-prometheus-stack-admission-create-fxplw              Successfully pulled image "ghcr.io/jkroepke/kube-webhook-certgen:1.7.8" in 1.465s (4.679s including waiting). Image size: 24707256 bytes.
observability   31m         Normal    Created             pod/obs-kube-prometheus-stack-admission-create-fxplw              Container created
observability   31m         Normal    Started             pod/obs-kube-prometheus-stack-admission-create-fxplw              Container started
observability   31m         Normal    ScalingReplicaSet   deployment/obs-kube-state-metrics                                 Scaled up replica set obs-kube-state-metrics-5f4cc9b856 from 0 to 1
observability   31m         Normal    ScalingReplicaSet   deployment/obs-grafana                                            Scaled up replica set obs-grafana-b884768db from 0 to 1
observability   31m         Normal    SuccessfulCreate    daemonset/obs-prometheus-node-exporter                            Created pod: obs-prometheus-node-exporter-xl4d6
observability   31m         Normal    Pulling             pod/obs-grafana-b884768db-pgqmm                                   Pulling image "quay.io/kiwigrid/k8s-sidecar:2.5.0"
observability   31m         Normal    Scheduled           pod/obs-grafana-b884768db-pgqmm                                   Successfully assigned observability/obs-grafana-b884768db-pgqmm to minikube
observability   31m         Normal    SuccessfulCreate    replicaset/obs-grafana-b884768db                                  Created pod: obs-grafana-b884768db-pgqmm
observability   31m         Normal    Pulling             pod/obs-prometheus-node-exporter-xl4d6                            Pulling image "quay.io/prometheus/node-exporter:v1.10.2"
observability   31m         Normal    Scheduled           pod/obs-prometheus-node-exporter-xl4d6                            Successfully assigned observability/obs-prometheus-node-exporter-xl4d6 to minikube
observability   31m         Normal    SuccessfulCreate    replicaset/obs-kube-state-metrics-5f4cc9b856                      Created pod: obs-kube-state-metrics-5f4cc9b856-qkxb8
observability   31m         Normal    Completed           job/obs-kube-prometheus-stack-admission-create                    Job completed
