NAMESPACE       NAME                                                    READY   STATUS      RESTARTS        AGE     IP             NODE           NOMINATED NODE   READINESS GATES
mesh-app        checkoutservice-6d7ccbb6cf-78rmd                        2/2     Running     6 (9m49s ago)   26h     10.244.0.25    minikube       <none>           <none>
mesh-app        currencyservice-7f9f695db5-rbzwx                        2/2     Running     8 (9m42s ago)   26h     10.244.0.30    minikube       <none>           <none>
mesh-app        details-v1-747787f7c4-htsfv                             2/2     Running     2 (8m30s ago)   39h     10.244.1.57    minikube-m02   <none>           <none>
mesh-app        emailservice-58dc4788c5-cv8x6                           2/2     Running     2 (8m14s ago)   26h     10.244.1.51    minikube-m02   <none>           <none>
mesh-app        frontend-76c94f7cfb-kckws                               2/2     Running     1 (8m33s ago)   26h     10.244.1.35    minikube-m02   <none>           <none>
mesh-app        loadgen-exp-004347-4n86h                                0/2     Completed   0               39h     <none>         minikube-m02   <none>           <none>
mesh-app        loadgenerator-69fdddd69d-vfwpf                          2/2     Running     1               26h     10.244.1.43    minikube-m02   <none>           <none>
mesh-app        paymentservice-7cff85ccd7-sdss9                         2/2     Running     8 (9m39s ago)   26h     10.244.0.36    minikube       <none>           <none>
mesh-app        productcatalogservice-54c86d9f79-7hx4l                  2/2     Running     1 (8m33s ago)   26h     10.244.1.41    minikube-m02   <none>           <none>
mesh-app        productpage-v1-66d788bc7f-9f7qt                         2/2     Running     2 (8m26s ago)   39h     10.244.1.56    minikube-m02   <none>           <none>
mesh-app        ratings-v1-798bd9b5d-vg7gx                              2/2     Running     2 (8m32s ago)   39h     10.244.1.55    minikube-m02   <none>           <none>
mesh-app        recommendationservice-6d8ddf5d5f-8p7mq                  2/2     Running     2 (8m14s ago)   26h     10.244.1.48    minikube-m02   <none>           <none>
mesh-app        redis-cart-6899b65948-ctsjt                             2/2     Running     2 (7m49s ago)   26h     10.244.1.53    minikube-m02   <none>           <none>
mesh-app        reviews-v1-b4745c9bb-hgxtm                              2/2     Running     2 (8m21s ago)   39h     10.244.1.58    minikube-m02   <none>           <none>
mesh-app        reviews-v2-6dc77b845d-p44wz                             2/2     Running     2 (8m21s ago)   39h     10.244.1.40    minikube-m02   <none>           <none>
mesh-app        reviews-v3-78c8846d54-kj2tt                             2/2     Running     2 (8m22s ago)   39h     10.244.1.36    minikube-m02   <none>           <none>
mesh-app        shippingservice-846f8585d7-5b28h                        2/2     Running     6 (9m51s ago)   26h     10.244.0.38    minikube       <none>           <none>
ob-app          adservice-7bb8787db5-dpt5p                              2/2     Running     2 (7m11s ago)   26h     10.244.1.44    minikube-m02   <none>           <none>
ob-app          cartservice-dc9f4fb6d-ffswh                             2/2     Running     6 (9m45s ago)   26h     10.244.0.32    minikube       <none>           <none>
ob-app          checkoutservice-6d7ccbb6cf-zdlpr                        2/2     Running     6 (9m51s ago)   26h     10.244.0.28    minikube       <none>           <none>
ob-app          currencyservice-7f9f695db5-spznm                        2/2     Running     8 (9m38s ago)   26h     10.244.0.29    minikube       <none>           <none>
ob-app          emailservice-58dc4788c5-xjgq9                           2/2     Running     2 (8m14s ago)   26h     10.244.1.50    minikube-m02   <none>           <none>
ob-app          frontend-76c94f7cfb-vtz6n                               2/2     Running     6 (9m49s ago)   26h     10.244.0.35    minikube       <none>           <none>
