NAMESPACE       NAME                                                    READY   STATUS      RESTARTS       AGE     IP             NODE           NOMINATED NODE   READINESS GATES
mesh-app        reviews-v3-78c8846d54-kj2tt                             2/2     Running     1 (24h ago)    24h     10.244.1.5     minikube-m02   <none>           <none>
mesh-app        shippingservice-846f8585d7-5b28h                        2/2     Running     0              12h     10.244.0.9     minikube       <none>           <none>
ob-app          adservice-7bb8787db5-dpt5p                              2/2     Running     0              12h     10.244.1.26    minikube-m02   <none>           <none>
ob-app          cartservice-dc9f4fb6d-ffswh                             2/2     Running     0              12h     10.244.0.17    minikube       <none>           <none>
ob-app          checkoutservice-6d7ccbb6cf-zdlpr                        2/2     Running     0              12h     10.244.0.11    minikube       <none>           <none>
ob-app          currencyservice-7f9f695db5-spznm                        2/2     Running     2 (170m ago)   12h     10.244.0.16    minikube       <none>           <none>
ob-app          emailservice-58dc4788c5-xjgq9                           2/2     Running     0              12h     10.244.1.22    minikube-m02   <none>           <none>
ob-app          frontend-76c94f7cfb-vtz6n                               2/2     Running     0              12h     10.244.0.15    minikube       <none>           <none>
ob-app          loadgen-exp-011304-979h5                                0/2     Completed   0              8m8s    10.244.1.32    minikube-m02   <none>           <none>
ob-app          loadgen-exp-011823-snhqr                                0/2     Completed   0              2m48s   10.244.1.34    minikube-m02   <none>           <none>
ob-app          loadgen-exp-131219-92cqc                                0/2     Completed   0              12h     10.244.1.28    minikube-m02   <none>           <none>
ob-app          loadgen-exp-134954-mjqb6                                0/2     Completed   0              11h     10.244.1.30    minikube-m02   <none>           <none>
ob-app          loadgenerator-69fdddd69d-2t4t5                          2/2     Running     0              12h     10.244.1.23    minikube-m02   <none>           <none>
ob-app          paymentservice-7cff85ccd7-hng66                         2/2     Running     2 (107m ago)   12h     10.244.0.12    minikube       <none>           <none>
ob-app          productcatalogservice-54c86d9f79-nfv9q                  2/2     Running     0              12h     10.244.0.14    minikube       <none>           <none>
ob-app          recommendationservice-6d8ddf5d5f-qkh5d                  2/2     Running     0              12h     10.244.1.24    minikube-m02   <none>           <none>
ob-app          redis-cart-6899b65948-87b5c                             2/2     Running     0              12h     10.244.0.13    minikube       <none>           <none>
ob-app          shippingservice-846f8585d7-hsc26                        2/2     Running     0              12h     10.244.1.25    minikube-m02   <none>           <none>
observability   alertmanager-obs-kube-prometheus-stack-alertmanager-0   2/2     Running     2 (24h ago)    24h     10.244.1.7     minikube-m02   <none>           <none>
observability   jaeger-7dc86c798f-85zxd                                 1/1     Running     1 (24h ago)    24h     10.244.0.4     minikube       <none>           <none>
observability   obs-grafana-7d5dcb6bd5-8mnwf                            3/3     Running     0              12h     10.244.0.19    minikube       <none>           <none>
observability   obs-kube-prometheus-stack-operator-64496c4978-4b4vq     1/1     Running     0              12h     10.244.0.20    minikube       <none>           <none>
observability   obs-kube-state-metrics-5f4cc9b856-fcxgc                 1/1     Running     1 (24h ago)    24h     10.244.1.9     minikube-m02   <none>           <none>
observability   obs-prometheus-node-exporter-6c5vm                      1/1     Running     1 (24h ago)    24h     192.168.49.3   minikube-m02   <none>           <none>
observability   obs-prometheus-node-exporter-znvjs                      1/1     Running     1 (24h ago)    24h     192.168.49.2   minikube       <none>           <none>
observability   otel-collector-5cbdc4f9c4-rlz7b                         1/1     Running     0              3m      10.244.1.33    minikube-m02   <none>           <none>
observability   prometheus-obs-kube-prometheus-stack-prometheus-0       2/2     Running     2 (24h ago)    24h     10.244.0.2     minikube       <none>           <none>
