NAMESPACE       NAME                                                    READY   STATUS      RESTARTS        AGE     IP             NODE           NOMINATED NODE   READINESS GATES
mesh-app        productpage-v1-66d788bc7f-9f7qt                         2/2     Running     2 (4m55s ago)   39h     10.244.1.56    minikube-m02   <none>           <none>
mesh-app        ratings-v1-798bd9b5d-vg7gx                              2/2     Running     2 (5m1s ago)    39h     10.244.1.55    minikube-m02   <none>           <none>
mesh-app        recommendationservice-6d8ddf5d5f-8p7mq                  2/2     Running     2 (4m43s ago)   26h     10.244.1.48    minikube-m02   <none>           <none>
mesh-app        redis-cart-6899b65948-ctsjt                             2/2     Running     2 (4m18s ago)   26h     10.244.1.53    minikube-m02   <none>           <none>
mesh-app        reviews-v1-b4745c9bb-hgxtm                              2/2     Running     2 (4m50s ago)   39h     10.244.1.58    minikube-m02   <none>           <none>
mesh-app        reviews-v2-6dc77b845d-p44wz                             2/2     Running     2 (4m50s ago)   39h     10.244.1.40    minikube-m02   <none>           <none>
mesh-app        reviews-v3-78c8846d54-kj2tt                             2/2     Running     2 (4m51s ago)   39h     10.244.1.36    minikube-m02   <none>           <none>
mesh-app        shippingservice-846f8585d7-5b28h                        2/2     Running     6 (6m20s ago)   26h     10.244.0.38    minikube       <none>           <none>
ob-app          adservice-7bb8787db5-dpt5p                              2/2     Running     2 (3m40s ago)   26h     10.244.1.44    minikube-m02   <none>           <none>
ob-app          cartservice-dc9f4fb6d-ffswh                             2/2     Running     6 (6m14s ago)   26h     10.244.0.32    minikube       <none>           <none>
ob-app          checkoutservice-6d7ccbb6cf-zdlpr                        2/2     Running     6 (6m20s ago)   26h     10.244.0.28    minikube       <none>           <none>
ob-app          currencyservice-7f9f695db5-spznm                        2/2     Running     8 (6m7s ago)    26h     10.244.0.29    minikube       <none>           <none>
ob-app          emailservice-58dc4788c5-xjgq9                           2/2     Running     2 (4m43s ago)   26h     10.244.1.50    minikube-m02   <none>           <none>
ob-app          frontend-76c94f7cfb-vtz6n                               2/2     Running     6 (6m18s ago)   26h     10.244.0.35    minikube       <none>           <none>
ob-app          loadgen-exp-011304-979h5                                0/2     Completed   0               14h     10.244.1.32    minikube-m02   <none>           <none>
ob-app          loadgen-exp-011823-snhqr                                0/2     Completed   0               14h     10.244.1.34    minikube-m02   <none>           <none>
ob-app          loadgen-exp-131219-92cqc                                0/2     Completed   0               26h     10.244.1.28    minikube-m02   <none>           <none>
ob-app          loadgen-exp-134954-mjqb6                                0/2     Completed   0               26h     10.244.1.30    minikube-m02   <none>           <none>
ob-app          loadgen-exp-154905-j5mjm                                0/2     Completed   0               2m52s   <none>         minikube-m02   <none>           <none>
ob-app          loadgenerator-69fdddd69d-2t4t5                          2/2     Running     1 (4m52s ago)   26h     10.244.1.52    minikube-m02   <none>           <none>
ob-app          paymentservice-7cff85ccd7-hng66                         2/2     Running     8 (6m8s ago)    26h     10.244.0.31    minikube       <none>           <none>
ob-app          productcatalogservice-54c86d9f79-nfv9q                  2/2     Running     6 (6m20s ago)   26h     10.244.0.27    minikube       <none>           <none>
ob-app          recommendationservice-6d8ddf5d5f-qkh5d                  2/2     Running     1 (4m50s ago)   26h     10.244.1.47    minikube-m02   <none>           <none>
ob-app          redis-cart-6899b65948-87b5c                             2/2     Running     5 (6m16s ago)   26h     10.244.0.34    minikube       <none>           <none>
ob-app          shippingservice-846f8585d7-hsc26                        2/2     Running     2 (4m18s ago)   26h     10.244.1.54    minikube-m02   <none>           <none>
observability   alertmanager-obs-kube-prometheus-stack-alertmanager-0   2/2     Running     4 (5m2s ago)    39h     10.244.1.38    minikube-m02   <none>           <none>
observability   jaeger-7dc86c798f-85zxd                                 1/1     Running     2 (6m10s ago)   39h     10.244.0.22    minikube       <none>           <none>
observability   obs-grafana-7d5dcb6bd5-8mnwf                            3/3     Running     3 (6m9s ago)    26h     10.244.0.23    minikube       <none>           <none>
observability   obs-kube-prometheus-stack-operator-64496c4978-4b4vq     1/1     Running     11 (12h ago)    26h     10.244.0.24    minikube       <none>           <none>
observability   obs-kube-state-metrics-5f4cc9b856-fcxgc                 1/1     Running     243 (10m ago)   39h     10.244.1.42    minikube-m02   <none>           <none>
observability   obs-prometheus-node-exporter-6c5vm                      1/1     Running     2 (5m1s ago)    39h     192.168.49.3   minikube-m02   <none>           <none>
observability   obs-prometheus-node-exporter-znvjs                      1/1     Running     7 (6m19s ago)   39h     192.168.49.2   minikube       <none>           <none>
observability   otel-collector-66cf5bdc6c-8dsnq                         1/1     Running     0               3m3s    10.244.1.59    minikube-m02   <none>           <none>
observability   prometheus-obs-kube-prometheus-stack-prometheus-0       2/2     Running     7 (6m10s ago)   39h     10.244.0.33    minikube       <none>           <none>
